,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
1497,1199530A,2019,Tolerance Oval,Jersey,Ireland,37,2,46,4,22,3,105,9,Ireland,field,Abu Dhabi,Ireland,ICC Men's T20 World Cup Qualifier,1199530,A,Tolerance Oval,Abu Dhabi
1497,1199530B,2019,Tolerance Oval,Ireland,Jersey,38,1,72,1,0,0,110,2,Ireland,field,Abu Dhabi,Ireland,ICC Men's T20 World Cup Qualifier,1199530,B,Tolerance Oval,Abu Dhabi
1498,1199518A,2019,ICC Academy,Singapore,Netherlands,35,0,55,5,11,4,101,9,Singapore,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199518,A,ICC Academy,Dubai
1498,1199518B,2019,ICC Academy,Netherlands,Singapore,39,2,60,3,5,0,104,5,Singapore,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199518,B,ICC Academy,Dubai
1499,1041615A,2016,Central Broward Regional Park Stadium Turf Ground,West Indies,India,78,0,127,2,40,3,245,5,India,field,Lauderhill,West Indies,West Indies v India T20I Series,1041615,A,Central Broward Regional Park Stadium Turf Ground,Lauderhill
1499,1041615B,2016,Central Broward Regional Park Stadium Turf Ground,India,West Indies,67,2,126,1,51,1,244,4,India,field,Lauderhill,West Indies,West Indies v India T20I Series,1041615,B,Central Broward Regional Park Stadium Turf Ground,Lauderhill
1500,1322336A,2022,Hagley Oval,Bangladesh,New Zealand,41,1,55,4,41,3,137,8,New Zealand,field,Christchurch,New Zealand,New Zealand T20I Tri-Series,1322336,A,Hagley Oval,Christchurch
1500,1322336B,2022,Hagley Oval,New Zealand,Bangladesh,40,1,74,1,28,0,142,2,New Zealand,field,Christchurch,New Zealand,New Zealand T20I Tri-Series,1322336,B,Hagley Oval,Christchurch
1501,1197521A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Ireland,54,1,89,2,24,4,167,7,Ireland,field,Al Amarat,Ireland,Oman Pentangular T20I Series,1197521,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1501,1197521B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Netherlands,52,1,77,3,40,0,169,4,Ireland,field,Al Amarat,Ireland,Oman Pentangular T20I Series,1197521,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1502,1303313A,2022,Civil Service Cricket Club,New Zealand,Ireland,51,1,87,2,41,1,179,4,Ireland,field,Belfast,New Zealand,New Zealand tour of Ireland,1303313,A,Civil Service Cricket Club,Belfast
1502,1303313B,2022,Civil Service Cricket Club,Ireland,New Zealand,41,4,50,6,0,0,91,10,Ireland,field,Belfast,New Zealand,New Zealand tour of Ireland,1303313,B,Civil Service Cricket Club,Belfast
1503,1307161A,2022,Civil Service Cricket Club,Afghanistan,Ireland,41,0,95,2,53,3,189,5,Ireland,field,Belfast,Afghanistan,Afghanistan tour of Ireland,1307161,A,Civil Service Cricket Club,Belfast
1503,1307161B,2022,Civil Service Cricket Club,Ireland,Afghanistan,36,4,90,3,41,2,167,9,Ireland,field,Belfast,Afghanistan,Afghanistan tour of Ireland,1307161,B,Civil Service Cricket Club,Belfast
1504,1287775A,2021,National Stadium,West Indies,Pakistan,66,1,104,1,37,1,207,3,West Indies,bat,Karachi,Pakistan,West Indies tour of Pakistan,1287775,A,National Stadium,Karachi
1504,1287775B,2021,National Stadium,Pakistan,West Indies,60,0,109,1,39,2,208,3,West Indies,bat,Karachi,Pakistan,West Indies tour of Pakistan,1287775,B,National Stadium,Karachi
