,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
896,722335A,2015,Newlands,South Africa,West Indies,35,1,90,1,40,1,165,3,South Africa,bat,Cape Town,West Indies,West Indies in South Africa T20I Series,722335,A,Newlands,Cape Town
896,722335B,2015,Newlands,West Indies,South Africa,78,0,75,2,15,3,168,5,South Africa,bat,Cape Town,West Indies,West Indies in South Africa T20I Series,722335,B,Newlands,Cape Town
897,406207A,2010,Melbourne Cricket Ground,Australia,Pakistan,50,1,55,6,22,3,127,10,Australia,bat,,Australia,,406207,A,Melbourne Cricket Ground,-
897,406207B,2010,Melbourne Cricket Ground,Pakistan,Australia,44,2,62,3,19,3,125,8,Australia,bat,,Australia,,406207,B,Melbourne Cricket Ground,-
898,1320975A,2022,Meersen,Israel,Spain,41,3,53,3,20,3,114,9,Israel,bat,Ghent,Spain,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320975,A,Meersen,Ghent
898,1320975B,2022,Meersen,Spain,Israel,48,2,67,0,0,0,115,2,Israel,bat,Ghent,Spain,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320975,B,Meersen,Ghent
899,860279A,2015,R Premadasa Stadium,Pakistan,Sri Lanka,42,1,91,2,42,1,175,4,Pakistan,bat,Colombo,Pakistan,Pakistan in Sri Lanka T20I Series,860279,A,R Premadasa Stadium,Colombo
899,860279B,2015,R Premadasa Stadium,Sri Lanka,Pakistan,35,3,84,3,27,1,146,7,Pakistan,bat,Colombo,Pakistan,Pakistan in Sri Lanka T20I Series,860279,B,R Premadasa Stadium,Colombo
900,1157760A,2018,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,India,West Indies,49,0,87,2,59,0,195,2,West Indies,field,Lucknow,India,West Indies tour of India,1157760,A,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
900,1157760B,2018,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,India,39,2,49,5,36,2,124,9,West Indies,field,Lucknow,India,West Indies tour of India,1157760,B,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
901,1183525A,2019,Brisbane Cricket Ground,Sri Lanka,Australia,36,2,61,6,20,2,117,10,Sri Lanka,bat,Brisbane,Australia,Sri Lanka tour of Australia,1183525,A,Brisbane Cricket Ground,Brisbane
901,1183525B,2019,Brisbane Cricket Ground,Australia,Sri Lanka,58,1,60,0,0,0,118,1,Sri Lanka,bat,Brisbane,Australia,Sri Lanka tour of Australia,1183525,B,Brisbane Cricket Ground,Brisbane
902,1184262A,2019,Kyambogo Cricket Oval,Namibia,Uganda,43,2,89,3,35,2,167,7,Namibia,bat,Kampala,Namibia,ICC Men's T20 World Cup Africa Region Final,1184262,A,Kyambogo Cricket Oval,Kampala
902,1184262B,2019,Kyambogo Cricket Oval,Uganda,Namibia,45,2,59,3,21,2,125,7,Namibia,bat,Kampala,Namibia,ICC Men's T20 World Cup Africa Region Final,1184262,B,Kyambogo Cricket Oval,Kampala
903,1176792A,2019,Amini Park,Papua New Guinea,Philippines,60,1,101,2,55,1,216,4,Philippines,field,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176792,A,Amini Park,Port Moresby
903,1176792B,2019,Amini Park,Philippines,Papua New Guinea,27,2,41,4,15,2,83,8,Philippines,field,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176792,B,Amini Park,Port Moresby
904,1273134A,2021,Svanholm Park,Sweden,Denmark,50,1,53,4,19,3,122,8,Denmark,field,Brondby,Denmark,Sweden tour of Denmark,1273134,A,Svanholm Park,Brondby
904,1273134B,2021,Svanholm Park,Denmark,Sweden,28,1,64,2,34,0,126,3,Denmark,field,Brondby,Denmark,Sweden tour of Denmark,1273134,B,Svanholm Park,Brondby
905,1187019A,2019,Greenfield International Stadium,India,West Indies,42,1,102,3,26,3,170,7,West Indies,field,Thiruvananthapuram,West Indies,West Indies tour of India,1187019,A,Greenfield International Stadium,Thiruvananthapuram
905,1187019B,2019,Greenfield International Stadium,West Indies,India,41,0,101,2,31,0,173,2,West Indies,field,Thiruvananthapuram,West Indies,West Indies tour of India,1187019,B,Greenfield International Stadium,Thiruvananthapuram
906,1199541A,2019,Dubai International Cricket Stadium,United Arab Emirates,Netherlands,14,4,37,2,29,2,80,8,United Arab Emirates,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199541,A,Dubai International Cricket Stadium,Dubai
906,1199541B,2019,Dubai International Cricket Stadium,Netherlands,United Arab Emirates,37,1,44,1,0,0,81,2,United Arab Emirates,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199541,B,Dubai International Cricket Stadium,Dubai
907,1279380A,2021,Happy Valley Ground,Estonia,Cyprus,37,0,67,3,26,3,130,6,Estonia,bat,Episkopi,Cyprus,Estonia tour of Cyprus,1279380,A,Happy Valley Ground,Episkopi
907,1279380B,2021,Happy Valley Ground,Cyprus,Estonia,65,0,66,2,0,0,131,2,Estonia,bat,Episkopi,Cyprus,Estonia tour of Cyprus,1279380,B,Happy Valley Ground,Episkopi
908,1280057A,2021,ICC Academy,Namibia,United Arab Emirates,50,1,79,3,30,4,159,8,United Arab Emirates,field,Dubai,Namibia,Namibia tour of United Arab Emirates,1280057,A,ICC Academy,Dubai
908,1280057B,2021,ICC Academy,United Arab Emirates,Namibia,23,1,81,4,38,4,142,9,United Arab Emirates,field,Dubai,Namibia,Namibia tour of United Arab Emirates,1280057,B,ICC Academy,Dubai
909,924639A,2015,Queens Sports Club,Zimbabwe,Afghanistan,68,2,85,1,37,3,190,6,Zimbabwe,bat,Bulawayo,Afghanistan,Afghanistan in Zimbabwe T20I Series,924639,A,Queens Sports Club,Bulawayo
909,924639B,2015,Queens Sports Club,Afghanistan,Zimbabwe,56,0,90,2,45,2,191,4,Zimbabwe,bat,Bulawayo,Afghanistan,Afghanistan in Zimbabwe T20I Series,924639,B,Queens Sports Club,Bulawayo
910,1298156A,2022,Sydney Cricket Ground,South Africa,Bangladesh,63,1,117,1,25,3,205,5,South Africa,bat,Sydney,South Africa,ICC Men's T20 World Cup,1298156,A,Sydney Cricket Ground,Sydney
910,1298156B,2022,Sydney Cricket Ground,Bangladesh,South Africa,47,3,54,5,0,1,101,9,South Africa,bat,Sydney,South Africa,ICC Men's T20 World Cup,1298156,B,Sydney Cricket Ground,Sydney
911,412702A,2010,Beausejour Stadium,Pakistan,Australia,40,0,92,3,59,3,191,6,Australia,field,St Lucia,Australia,ICC World Twenty20,412702,A,Beausejour Stadium,St Lucia
911,412702B,2010,Beausejour Stadium,Australia,Pakistan,53,2,83,3,61,2,197,7,Australia,field,St Lucia,Australia,ICC World Twenty20,412702,B,Beausejour Stadium,St Lucia
912,1243020A,2021,Gaddafi Stadium,Pakistan,South Africa,46,1,53,3,45,2,144,6,South Africa,field,Lahore,South Africa,South Africa tour of Pakistan,1243020,A,Gaddafi Stadium,Lahore
912,1243020B,2021,Gaddafi Stadium,South Africa,Pakistan,46,2,92,2,7,0,145,4,South Africa,field,Lahore,South Africa,South Africa tour of Pakistan,1243020,B,Gaddafi Stadium,Lahore
913,1298142A,2022,Bellerive Oval,West Indies,Zimbabwe,49,1,64,4,40,1,153,6,West Indies,bat,Hobart,West Indies,ICC Men's T20 World Cup,1298142,A,Bellerive Oval,Hobart
913,1298142B,2022,Bellerive Oval,Zimbabwe,West Indies,55,3,48,4,19,2,122,9,West Indies,bat,Hobart,West Indies,ICC Men's T20 World Cup,1298142,B,Bellerive Oval,Hobart
914,412689A,2010,Kensington Oval,Pakistan,England,44,1,68,4,35,4,147,9,England,field,Barbados,England,ICC World Twenty20,412689,A,Kensington Oval,Bridgetown
914,412689B,2010,Kensington Oval,England,Pakistan,45,1,80,2,26,1,151,4,England,field,Barbados,England,ICC World Twenty20,412689,B,Kensington Oval,Bridgetown
915,1272376A,2021,Bready Cricket Club,Ireland,Zimbabwe,57,0,85,2,32,2,174,4,Zimbabwe,field,Bready,Ireland,Zimbabwe tour of Ireland and Scotland,1272376,A,Bready Cricket Club,Bready
915,1272376B,2021,Bready Cricket Club,Zimbabwe,Ireland,32,4,50,3,28,1,110,8,Zimbabwe,field,Bready,Ireland,Zimbabwe tour of Ireland and Scotland,1272376,B,Bready Cricket Club,Bready
916,951339A,2016,Wankhede Stadium,South Africa,England,83,0,90,3,56,0,229,3,England,field,Mumbai,England,World T20,951339,A,Wankhede Stadium,Mumbai
916,951339B,2016,Wankhede Stadium,England,South Africa,89,2,99,2,42,3,230,7,England,field,Mumbai,England,World T20,951339,B,Wankhede Stadium,Mumbai
917,1278673A,2021,Eden Gardens,India,New Zealand,69,0,71,5,44,2,184,7,India,bat,Kolkata,India,New Zealand tour of India,1278673,A,Eden Gardens,Kolkata
917,1278673B,2021,Eden Gardens,New Zealand,India,37,3,58,5,16,2,111,10,India,bat,Kolkata,India,New Zealand tour of India,1278673,B,Eden Gardens,Kolkata
918,951311A,2016,Himachal Pradesh Cricket Association Stadium,Ireland,Oman,46,0,72,4,36,1,154,5,Ireland,bat,Dharamsala,Oman,World T20,951311,A,Himachal Pradesh Cricket Association Stadium,Dharamsala
918,951311B,2016,Himachal Pradesh Cricket Association Stadium,Oman,Ireland,44,0,68,4,45,3,157,7,Ireland,bat,Dharamsala,Oman,World T20,951311,B,Himachal Pradesh Cricket Association Stadium,Dharamsala
919,1273726A,2021,Sharjah Cricket Stadium,Bangladesh,Sri Lanka,41,1,88,1,42,2,171,4,Sri Lanka,field,Sharjah,Sri Lanka,ICC Men's T20 World Cup,1273726,A,Sharjah Cricket Stadium,Sharjah
919,1273726B,2021,Sharjah Cricket Stadium,Sri Lanka,Bangladesh,54,1,94,3,24,1,172,5,Sri Lanka,field,Sharjah,Sri Lanka,ICC Men's T20 World Cup,1273726,B,Sharjah Cricket Stadium,Sharjah
920,1233464A,2020,Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,42,1,78,2,36,2,156,5,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233464,A,Rawalpindi Cricket Stadium,-
920,1233464B,2020,Rawalpindi Cricket Stadium,Pakistan,Zimbabwe,52,1,84,1,21,2,157,4,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233464,B,Rawalpindi Cricket Stadium,-
921,1146725A,2018,Central Broward Regional Park Stadium Turf Ground,Bangladesh,West Indies,71,2,75,3,38,0,184,5,Bangladesh,bat,Lauderhill,Bangladesh,Bangladesh tour of West Indies and United States of America,1146725,A,Central Broward Regional Park Stadium Turf Ground,Lauderhill
921,1146725B,2018,Central Broward Regional Park Stadium Turf Ground,West Indies,Bangladesh,32,3,89,2,14,2,135,7,Bangladesh,bat,Lauderhill,Bangladesh,Bangladesh tour of West Indies and United States of America,1146725,B,Central Broward Regional Park Stadium Turf Ground,Lauderhill
922,1273732A,2021,Zayed Cricket Stadium,Scotland,Namibia,22,2,70,1,17,3,109,6,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273732,A,Zayed Cricket Stadium,Abu Dhabi
922,1273732B,2021,Zayed Cricket Stadium,Namibia,Scotland,29,1,64,3,22,2,115,6,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273732,B,Zayed Cricket Stadium,Abu Dhabi
923,951305A,2016,Vidarbha Cricket Association Stadium,Zimbabwe,Hong Kong,53,2,70,2,35,3,158,7,Hong Kong,field,Nagpur,Zimbabwe,ICC World Twenty20,951305,A,Vidarbha Cricket Association Stadium,Nagpur
923,951305B,2016,Vidarbha Cricket Association Stadium,Hong Kong,Zimbabwe,24,1,82,1,38,3,144,5,Hong Kong,field,Nagpur,Zimbabwe,ICC World Twenty20,951305,B,Vidarbha Cricket Association Stadium,Nagpur
924,355996A,2009,Kennington Oval,England,Pakistan,63,2,89,1,33,2,185,5,Pakistan,field,London,England,ICC World Twenty20,355996,A,Kennington Oval,London
924,355996B,2009,Kennington Oval,Pakistan,England,41,3,67,2,29,2,137,7,Pakistan,field,London,England,ICC World Twenty20,355996,B,Kennington Oval,London
925,1251578A,2021,SuperSport Park,South Africa,Pakistan,53,0,70,6,21,3,144,9,Pakistan,field,Centurion,Pakistan,Pakistan tour of South Africa,1251578,A,SuperSport Park,Centurion
925,1251578B,2021,SuperSport Park,Pakistan,South Africa,57,1,60,5,32,1,149,7,Pakistan,field,Centurion,Pakistan,Pakistan tour of South Africa,1251578,B,SuperSport Park,Centurion
926,1072319A,2018,Westpac Stadium,New Zealand,England,50,1,104,2,42,2,196,5,England,field,Wellington,New Zealand,Trans-Tasman Twenty20 Trophy,1072319,A,Westpac Stadium,Wellington
926,1072319B,2018,Westpac Stadium,England,New Zealand,60,1,89,4,35,4,184,9,England,field,Wellington,New Zealand,Trans-Tasman Twenty20 Trophy,1072319,B,Westpac Stadium,Wellington
927,1252059A,2021,Sheikh Zayed Stadium,Afghanistan,Zimbabwe,49,1,97,2,47,2,193,5,Afghanistan,bat,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252059,A,Sheikh Zayed Stadium,Abu Dhabi
927,1252059B,2021,Sheikh Zayed Stadium,Zimbabwe,Afghanistan,54,3,87,1,7,4,148,8,Afghanistan,bat,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252059,B,Sheikh Zayed Stadium,Abu Dhabi
928,1034827A,2017,Vidarbha Cricket Association Stadium,India,England,46,1,68,1,30,5,144,7,England,field,Nagpur,India,England in India T20I Series,1034827,A,Vidarbha Cricket Association Stadium,Nagpur
928,1034827B,2017,Vidarbha Cricket Association Stadium,England,India,36,2,77,1,26,1,139,4,England,field,Nagpur,India,England in India T20I Series,1034827,B,Vidarbha Cricket Association Stadium,Nagpur
929,1197140A,2019,Shere Bangla National Stadium,Zimbabwe,Bangladesh,48,1,77,4,19,0,144,5,Bangladesh,field,Dhaka,Bangladesh,Bangladesh Twenty20 Tri-Series,1197140,A,Shere Bangla National Stadium,Dhaka
929,1197140B,2019,Shere Bangla National Stadium,Bangladesh,Zimbabwe,41,4,89,1,18,1,148,6,Bangladesh,field,Dhaka,Bangladesh,Bangladesh Twenty20 Tri-Series,1197140,B,Shere Bangla National Stadium,Dhaka
930,1321276A,2022,Kerava National Cricket Ground,Isle of Man,Turkey,59,1,78,5,34,3,171,9,Isle of Man,bat,Kerava,Isle of Man,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321276,A,Kerava National Cricket Ground,Kerava
930,1321276B,2022,Kerava National Cricket Ground,Turkey,Isle of Man,14,4,43,2,40,2,97,8,Isle of Man,bat,Kerava,Isle of Man,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321276,B,Kerava National Cricket Ground,Kerava
931,1145984A,2018,Rajiv Gandhi International Cricket Stadium,Afghanistan,Bangladesh,43,0,66,3,36,2,145,5,Afghanistan,bat,Dehradun,Afghanistan,Afghanistan tour of India,1145984,A,Rajiv Gandhi International Cricket Stadium,Dehradun
931,1145984B,2018,Rajiv Gandhi International Cricket Stadium,Bangladesh,Afghanistan,35,3,63,1,46,2,144,6,Afghanistan,bat,Dehradun,Afghanistan,Afghanistan tour of India,1145984,B,Rajiv Gandhi International Cricket Stadium,Dehradun
932,1317908A,2022,Sabina Park,New Zealand,West Indies,52,0,85,3,48,2,185,5,West Indies,field,Kingston,New Zealand,New Zealand tour of West Indies,1317908,A,Sabina Park,Kingston
932,1317908B,2022,Sabina Park,West Indies,New Zealand,45,2,69,4,58,0,172,6,West Indies,field,Kingston,New Zealand,New Zealand tour of West Indies,1317908,B,Sabina Park,Kingston
933,1321262A,2022,Kerava National Cricket Ground,Croatia,Sweden,18,0,42,7,9,3,69,10,Sweden,field,Kerava,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321262,A,Kerava National Cricket Ground,Kerava
933,1321262B,2022,Kerava National Cricket Ground,Sweden,Croatia,43,1,27,1,0,0,70,2,Sweden,field,Kerava,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321262,B,Kerava National Cricket Ground,Kerava
934,1310901A,2022,Sportpark Westvliet,New Zealand,Netherlands,33,2,67,3,48,2,148,7,New Zealand,bat,The Hague,New Zealand,New Zealand tour of Netherlands,1310901,A,Sportpark Westvliet,The Hague
934,1310901B,2022,Sportpark Westvliet,Netherlands,New Zealand,30,3,63,4,39,3,132,10,New Zealand,bat,The Hague,New Zealand,New Zealand tour of Netherlands,1310901,B,Sportpark Westvliet,The Hague
935,657635A,2013,Dubai International Cricket Stadium,Sri Lanka,Pakistan,52,0,108,2,51,1,211,3,Pakistan,field,,Sri Lanka,Pakistan v Sri Lanka T20I Series,657635,A,Dubai International Cricket Stadium,-
935,657635B,2013,Dubai International Cricket Stadium,Pakistan,Sri Lanka,40,2,111,6,36,1,187,9,Pakistan,field,,Sri Lanka,Pakistan v Sri Lanka T20I Series,657635,B,Dubai International Cricket Stadium,-
936,1215138A,2020,Kinrara Academy Oval,Malaysia,Hong Kong,33,0,92,3,27,5,152,8,Malaysia,bat,Kuala Lumpur,Malaysia,Hong Kong tour of Malaysia,1215138,A,Kinrara Academy Oval,Kuala Lumpur
936,1215138B,2020,Kinrara Academy Oval,Hong Kong,Malaysia,28,1,77,1,39,3,144,5,Malaysia,bat,Kuala Lumpur,Malaysia,Hong Kong tour of Malaysia,1215138,B,Kinrara Academy Oval,Kuala Lumpur
937,1321289A,2022,Tikkurila Cricket Ground,Guernsey,Austria,55,0,55,6,29,0,139,6,Guernsey,bat,Vantaa,Austria,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321289,A,Tikkurila Cricket Ground,Vantaa
937,1321289B,2022,Tikkurila Cricket Ground,Austria,Guernsey,62,2,52,4,27,2,141,8,Guernsey,bat,Vantaa,Austria,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321289,B,Tikkurila Cricket Ground,Vantaa
938,682949A,2014,Shere Bangla National Stadium,Pakistan,Bangladesh,50,1,96,2,44,2,190,5,Pakistan,bat,Mirpur,Pakistan,World T20,682949,A,Shere Bangla National Stadium,Dhaka
938,682949B,2014,Shere Bangla National Stadium,Bangladesh,Pakistan,36,2,64,2,40,2,140,6,Pakistan,bat,Mirpur,Pakistan,World T20,682949,B,Shere Bangla National Stadium,Dhaka
939,473920A,2010,AMI Stadium,Pakistan,New Zealand,64,0,67,3,52,2,183,5,Pakistan,bat,Christchurch,Pakistan,Pakistan in New Zealand T20I Series,473920,A,AMI Stadium,Christchurch
939,473920B,2010,AMI Stadium,New Zealand,Pakistan,17,4,63,4,0,0,80,8,Pakistan,bat,Christchurch,Pakistan,Pakistan in New Zealand T20I Series,473920,B,AMI Stadium,Christchurch
940,1282278A,2021,Marsa Sports Club,Gibraltar,Bulgaria,73,0,85,3,19,6,177,9,Gibraltar,bat,Marsa,Bulgaria,Valletta Cup,1282278,A,Marsa Sports Club,Marsa
940,1282278B,2021,Marsa Sports Club,Bulgaria,Gibraltar,49,1,87,2,42,0,178,3,Gibraltar,bat,Marsa,Bulgaria,Valletta Cup,1282278,B,Marsa Sports Club,Marsa
941,682961A,2014,Shere Bangla National Stadium,Sri Lanka,West Indies,48,2,64,2,48,2,160,6,Sri Lanka,bat,Mirpur,Sri Lanka,World T20,682961,A,Shere Bangla National Stadium,Dhaka
941,682961B,2014,Shere Bangla National Stadium,West Indies,Sri Lanka,30,2,50,1,0,0,80,3,Sri Lanka,bat,Mirpur,Sri Lanka,World T20,682961,B,Shere Bangla National Stadium,Dhaka
942,1153843A,2019,Eden Park,New Zealand,Sri Lanka,33,4,82,2,64,1,179,7,Sri Lanka,field,Auckland,New Zealand,Sri Lanka tour of New Zealand,1153843,A,Eden Park,Auckland
942,1153843B,2019,Eden Park,Sri Lanka,New Zealand,61,3,77,4,6,2,144,9,Sri Lanka,field,Auckland,New Zealand,Sri Lanka tour of New Zealand,1153843,B,Eden Park,Auckland
943,1115800A,2018,Bay Oval,New Zealand,West Indies,63,0,128,2,52,3,243,5,New Zealand,bat,Mount Maunganui,New Zealand,West Indies tour of New Zealand,1115800,A,Bay Oval,Mount Maunganui
943,1115800B,2018,Bay Oval,West Indies,New Zealand,73,4,50,3,1,1,124,8,New Zealand,bat,Mount Maunganui,New Zealand,West Indies tour of New Zealand,1115800,B,Bay Oval,Mount Maunganui
944,682963A,2014,Shere Bangla National Stadium,South Africa,India,44,2,86,2,42,0,172,4,South Africa,bat,Mirpur,India,World T20,682963,A,Shere Bangla National Stadium,Dhaka
944,682963B,2014,Shere Bangla National Stadium,India,South Africa,56,1,77,2,43,1,176,4,South Africa,bat,Mirpur,India,World T20,682963,B,Shere Bangla National Stadium,Dhaka
945,592276A,2013,Wanderers Cricket Ground,Netherlands,Kenya,58,3,46,4,9,1,113,8,Kenya,field,Windhoek,Kenya,Twenty20 Quadrangular (in Namibia),592276,A,Wanderers Cricket Ground,Windhoek
945,592276B,2013,Wanderers Cricket Ground,Kenya,Netherlands,48,1,66,1,0,0,114,2,Kenya,field,Windhoek,Kenya,Twenty20 Quadrangular (in Namibia),592276,B,Wanderers Cricket Ground,Windhoek
946,1193495A,2019,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,52,2,52,3,43,0,147,5,Afghanistan,bat,Lucknow,Afghanistan,Afghanistan tour of India,1193495,A,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
946,1193495B,2019,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,Afghanistan,29,1,54,3,23,2,106,6,Afghanistan,bat,Lucknow,Afghanistan,Afghanistan tour of India,1193495,B,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
947,1321274A,2022,Kerava National Cricket Ground,Cyprus,Serbia,33,3,72,5,20,2,125,10,Cyprus,bat,Kerava,Serbia,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321274,A,Kerava National Cricket Ground,Kerava
947,1321274B,2022,Kerava National Cricket Ground,Serbia,Cyprus,47,2,55,2,24,2,126,6,Cyprus,bat,Kerava,Serbia,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321274,B,Kerava National Cricket Ground,Kerava
948,1321260A,2022,Kerava National Cricket Ground,Romania,Turkey,43,4,70,0,34,1,147,5,Turkey,field,Kerava,Romania,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321260,A,Kerava National Cricket Ground,Kerava
948,1321260B,2022,Kerava National Cricket Ground,Turkey,Romania,15,3,42,3,39,0,96,6,Turkey,field,Kerava,Romania,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321260,B,Kerava National Cricket Ground,Kerava
949,1157372A,2018,Sheikh Zayed Stadium,Pakistan,Australia,45,1,80,1,30,4,155,6,Australia,field,Abu Dhabi,Pakistan,Australia tour of United Arab Emirates,1157372,A,Sheikh Zayed Stadium,Abu Dhabi
949,1157372B,2018,Sheikh Zayed Stadium,Australia,Pakistan,26,6,62,3,1,1,89,10,Australia,field,Abu Dhabi,Pakistan,Australia tour of United Arab Emirates,1157372,B,Sheikh Zayed Stadium,Abu Dhabi
950,1034825A,2017,Green Park,India,England,47,1,70,3,30,2,147,6,England,field,Kanpur,England,England in India T20I Series,1034825,A,Green Park,Kanpur
950,1034825B,2017,Green Park,England,India,48,2,81,1,19,0,148,3,England,field,Kanpur,England,England in India T20I Series,1034825,B,Green Park,Kanpur
951,1305498A,2022,Tribhuvan University International Cricket Ground,Nepal,Papua New Guinea,57,1,84,5,42,3,183,9,Papua New Guinea,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1305498,A,Tribhuvan University International Cricket Ground,Kirtipur
951,1305498B,2022,Tribhuvan University International Cricket Ground,Papua New Guinea,Nepal,55,3,80,2,33,2,168,7,Papua New Guinea,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1305498,B,Tribhuvan University International Cricket Ground,Kirtipur
952,1197142A,2019,Shere Bangla National Stadium,Afghanistan,Bangladesh,41,4,78,0,45,2,164,6,Afghanistan,bat,Dhaka,Afghanistan,Bangladesh Twenty20 Tri-Series,1197142,A,Shere Bangla National Stadium,Dhaka
952,1197142B,2019,Shere Bangla National Stadium,Bangladesh,Afghanistan,38,3,68,2,33,4,139,9,Afghanistan,bat,Dhaka,Afghanistan,Bangladesh Twenty20 Tri-Series,1197142,B,Shere Bangla National Stadium,Dhaka
953,297800A,2007,Brabourne Stadium,Australia,India,58,1,62,3,46,1,166,5,Australia,bat,Mumbai,India,,297800,A,Brabourne Stadium,Mumbai
953,297800B,2007,Brabourne Stadium,India,Australia,68,1,75,2,24,0,167,3,Australia,bat,Mumbai,India,,297800,B,Brabourne Stadium,Mumbai
954,1197397A,2019,White Hill Field,Canada,Cayman Islands,43,2,108,1,45,2,196,5,Canada,bat,Hamilton,Canada,ICC Men's T20 World Cup Americas Region Final,1197397,A,White Hill Field,Hamilton
954,1197397B,2019,White Hill Field,Cayman Islands,Canada,24,4,76,2,12,0,112,6,Canada,bat,Hamilton,Canada,ICC Men's T20 World Cup Americas Region Final,1197397,B,White Hill Field,Hamilton
955,355994A,2009,Trent Bridge,India,Bangladesh,54,0,67,2,59,3,180,5,India,bat,Nottingham,India,ICC World Twenty20,355994,A,Trent Bridge,Nottingham
955,355994B,2009,Trent Bridge,Bangladesh,India,55,2,64,4,36,2,155,8,India,bat,Nottingham,India,ICC World Twenty20,355994,B,Trent Bridge,Nottingham
956,1252067A,2021,Coolidge Cricket Ground,Sri Lanka,West Indies,56,0,68,4,36,2,160,6,Sri Lanka,bat,Coolidge,Sri Lanka,Sri Lanka tour of West Indies,1252067,A,Coolidge Cricket Ground,Coolidge
956,1252067B,2021,Coolidge Cricket Ground,West Indies,Sri Lanka,45,1,47,4,25,3,117,8,Sri Lanka,bat,Coolidge,Sri Lanka,Sri Lanka tour of West Indies,1252067,B,Coolidge Cricket Ground,Coolidge
957,1074959A,2017,Sheikh Zayed Stadium,Oman,Netherlands,44,2,55,3,47,1,146,6,Oman,bat,Abu Dhabi,Netherlands,Desert T20 Challenge,1074959,A,Sheikh Zayed Stadium,Abu Dhabi
957,1074959B,2017,Sheikh Zayed Stadium,Netherlands,Oman,45,2,64,2,39,1,148,5,Oman,bat,Abu Dhabi,Netherlands,Desert T20 Challenge,1074959,B,Sheikh Zayed Stadium,Abu Dhabi
958,1233466A,2020,Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,39,2,59,5,31,2,129,9,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233466,A,Rawalpindi Cricket Stadium,-
958,1233466B,2020,Rawalpindi Cricket Stadium,Pakistan,Zimbabwe,36,0,94,2,0,0,130,2,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233466,B,Rawalpindi Cricket Stadium,-
959,1119545A,2018,County Ground,England,India,73,0,86,4,39,5,198,9,India,field,Bristol,India,India tour of Ireland and England,1119545,A,County Ground,Bristol
959,1119545B,2018,County Ground,India,England,70,2,85,1,46,0,201,3,India,field,Bristol,India,India tour of Ireland and England,1119545,B,County Ground,Bristol
960,1273724A,2021,Zayed Cricket Stadium,South Africa,Australia,29,3,57,3,32,2,118,8,Australia,field,Abu Dhabi,Australia,ICC Men's T20 World Cup,1273724,A,Zayed Cricket Stadium,Abu Dhabi
