,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
835,1321277B,2022,Tikkurila Cricket Ground,Croatia,Serbia,30,0,48,4,16,1,94,5,Serbia,bat,Vantaa,Croatia,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321277,B
836,1004729A,2016,Bready Cricket Club,Hong Kong,Ireland,63,1,68,2,38,2,169,5,Hong Kong,bat,Londonderry,Hong Kong,Hong Kong in Ireland T20I Series,1004729,A
836,1004729B,2016,Bready Cricket Club,Ireland,Hong Kong,26,4,90,2,13,4,129,10,Hong Kong,bat,Londonderry,Hong Kong,Hong Kong in Ireland T20I Series,1004729,B
837,1197141A,2019,Shere Bangla National Stadium,Afghanistan,Zimbabwe,58,1,65,2,74,1,197,4,Zimbabwe,field,Dhaka,Afghanistan,Bangladesh Twenty20 Tri-Series,1197141,A
837,1197141B,2019,Shere Bangla National Stadium,Zimbabwe,Afghanistan,42,3,80,2,47,1,169,6,Zimbabwe,field,Dhaka,Afghanistan,Bangladesh Twenty20 Tri-Series,1197141,B
838,366622A,2009,Westpac Stadium,India,New Zealand,47,2,62,3,40,1,149,6,New Zealand,field,Wellington,New Zealand,India in New Zealand T20I Series,366622,A
838,366622B,2009,Westpac Stadium,New Zealand,India,60,1,55,0,35,3,150,4,New Zealand,field,Wellington,New Zealand,India in New Zealand T20I Series,366622,B
839,1252058A,2021,Sheikh Zayed Stadium,Afghanistan,Zimbabwe,66,0,100,2,32,3,198,5,Zimbabwe,field,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252058,A
839,1252058B,2021,Sheikh Zayed Stadium,Zimbabwe,Afghanistan,47,1,76,3,27,2,150,6,Zimbabwe,field,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252058,B
840,858491A,2015,Shere Bangla National Stadium,Pakistan,Bangladesh,31,0,83,3,27,1,141,4,Pakistan,bat,Mirpur,Bangladesh,,858491,A
840,858491B,2015,Shere Bangla National Stadium,Bangladesh,Pakistan,44,3,94,0,5,0,143,3,Pakistan,bat,Mirpur,Bangladesh,,858491,B
841,412677A,2010,Providence Stadium,West Indies,Ireland,43,2,50,4,45,3,138,9,West Indies,bat,Guyana,West Indies,ICC World Twenty20,412677,A
841,412677B,2010,Providence Stadium,Ireland,West Indies,31,4,36,4,1,1,68,9,West Indies,bat,Guyana,West Indies,ICC World Twenty20,412677,B
842,1072318A,2018,Melbourne Cricket Ground,England,Australia,42,3,53,1,42,3,137,7,Australia,field,,Australia,Trans-Tasman Twenty20 Trophy,1072318,A
842,1072318B,2018,Melbourne Cricket Ground,Australia,England,52,2,86,1,0,0,138,3,Australia,field,,Australia,Trans-Tasman Twenty20 Trophy,1072318,B
843,355997A,2009,Trent Bridge,Bangladesh,Ireland,42,2,51,4,44,2,137,8,Ireland,field,Nottingham,Ireland,ICC World Twenty20,355997,A
843,355997B,2009,Trent Bridge,Ireland,Bangladesh,47,1,58,3,33,0,138,4,Ireland,field,Nottingham,Ireland,ICC World Twenty20,355997,B
844,931396A,2015,Shere Bangla National Stadium,Zimbabwe,Bangladesh,23,3,85,3,23,2,131,8,Bangladesh,field,Mirpur,Bangladesh,Zimbabwe in Bangladesh T20I Series,931396,A
844,931396B,2015,Shere Bangla National Stadium,Bangladesh,Zimbabwe,47,2,71,2,18,0,136,4,Bangladesh,field,Mirpur,Bangladesh,Zimbabwe in Bangladesh T20I Series,931396,B
845,1273733A,2021,Dubai International Cricket Stadium,Sri Lanka,Australia,53,1,58,4,43,1,154,6,Australia,field,Dubai,Australia,ICC Men's T20 World Cup,1273733,A
845,1273733B,2021,Dubai International Cricket Stadium,Australia,Sri Lanka,63,0,77,3,15,0,155,3,Australia,field,Dubai,Australia,ICC Men's T20 World Cup,1273733,B
846,1273727A,2021,Dubai International Cricket Stadium,India,Pakistan,36,2,74,1,41,3,151,6,Pakistan,field,Dubai,Pakistan,ICC Men's T20 World Cup,1273727,A
846,1273727B,2021,Dubai International Cricket Stadium,Pakistan,India,43,0,85,0,24,0,152,0,Pakistan,field,Dubai,Pakistan,ICC Men's T20 World Cup,1273727,B
847,1278672A,2021,JSCA International Stadium Complex,New Zealand,India,64,1,64,3,25,2,153,6,India,field,Ranchi,India,New Zealand tour of India,1278672,A
847,1278672B,2021,JSCA International Stadium Complex,India,New Zealand,45,0,92,3,18,0,155,3,India,field,Ranchi,India,New Zealand tour of India,1278672,B
848,1146724A,2018,Central Broward Regional Park Stadium Turf Ground,Bangladesh,West Indies,35,2,103,2,33,1,171,5,West Indies,field,Lauderhill,Bangladesh,Bangladesh tour of West Indies and United States of America,1146724,A
848,1146724B,2018,Central Broward Regional Park Stadium Turf Ground,West Indies,Bangladesh,52,2,78,1,29,4,159,7,West Indies,field,Lauderhill,Bangladesh,Bangladesh tour of West Indies and United States of America,1146724,B
849,1233465A,2020,Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,45,3,56,2,33,1,134,6,Pakistan,field,,Pakistan,Zimbabwe tour of Pakistan,1233465,A
849,1233465B,2020,Rawalpindi Cricket Stadium,Pakistan,Zimbabwe,45,1,92,1,0,0,137,2,Pakistan,field,,Pakistan,Zimbabwe tour of Pakistan,1233465,B
850,1272377A,2021,Bready Cricket Club,Zimbabwe,Ireland,34,1,62,2,28,0,124,3,Zimbabwe,bat,Bready,Zimbabwe,Zimbabwe tour of Ireland and Scotland,1272377,A
850,1272377B,2021,Bready Cricket Club,Ireland,Zimbabwe,38,4,59,2,22,3,119,9,Zimbabwe,bat,Bready,Zimbabwe,Zimbabwe tour of Ireland and Scotland,1272377,B
851,255954A,2006,New Wanderers Stadium,South Africa,India,31,2,72,2,23,3,126,7,South Africa,bat,Johannesburg,India,,255954,A
851,255954B,2006,New Wanderers Stadium,India,South Africa,29,1,69,2,29,1,127,4,South Africa,bat,Johannesburg,India,,255954,B
852,412688A,2010,Kensington Oval,Australia,Bangladesh,35,2,54,4,52,1,141,7,Australia,bat,Barbados,Australia,ICC World Twenty20,412688,A
852,412688B,2010,Kensington Oval,Bangladesh,Australia,27,4,73,4,14,2,114,10,Australia,bat,Barbados,Australia,ICC World Twenty20,412688,B
853,1074966A,2017,Dubai International Cricket Stadium,Hong Kong,Netherlands,66,1,64,2,53,1,183,4,Hong Kong,bat,,Hong Kong,Desert T20 Challenge,1074966,A
853,1074966B,2017,Dubai International Cricket Stadium,Netherlands,Hong Kong,32,2,60,6,0,0,92,8,Hong Kong,bat,,Hong Kong,Desert T20 Challenge,1074966,B
854,1083450A,2017,R Premadasa Stadium,Bangladesh,Sri Lanka,68,0,71,4,37,4,176,8,Bangladesh,bat,Colombo,Bangladesh,Bangladesh in Sri Lanka T20I Series,1083450,A
854,1083450B,2017,R Premadasa Stadium,Sri Lanka,Bangladesh,47,5,72,2,12,3,131,10,Bangladesh,bat,Colombo,Bangladesh,Bangladesh in Sri Lanka T20I Series,1083450,B
855,1243021A,2021,Gaddafi Stadium,South Africa,Pakistan,41,3,69,4,54,0,164,7,Pakistan,field,Lahore,Pakistan,South Africa tour of Pakistan,1243021,A
855,1243021B,2021,Gaddafi Stadium,Pakistan,South Africa,51,0,77,4,41,1,169,5,Pakistan,field,Lahore,Pakistan,South Africa tour of Pakistan,1243021,B
856,1298143A,2022,GMHBA Stadium,Sri Lanka,Netherlands,36,0,83,2,43,3,162,5,Sri Lanka,bat,Geelong,Sri Lanka,ICC Men's T20 World Cup,1298143,A
856,1298143B,2022,GMHBA Stadium,Netherlands,Sri Lanka,40,2,65,4,41,3,146,9,Sri Lanka,bat,Geelong,Sri Lanka,ICC Men's T20 World Cup,1298143,B
857,623572A,2013,Queens Sports Club,Bangladesh,Zimbabwe,57,1,79,3,32,2,168,6,Bangladesh,bat,Bulawayo,Bangladesh,Bangladesh in Zimbabwe T20I Series,623572,A
857,623572B,2013,Queens Sports Club,Zimbabwe,Bangladesh,45,2,71,3,18,4,134,9,Bangladesh,bat,Bulawayo,Bangladesh,Bangladesh in Zimbabwe T20I Series,623572,B
858,412703A,2010,Kensington Oval,Australia,England,24,3,73,2,50,1,147,6,England,field,Barbados,England,ICC World Twenty20,412703,A
858,412703B,2010,Kensington Oval,England,Australia,41,1,93,2,14,0,148,3,England,field,Barbados,England,ICC World Twenty20,412703,B
859,1298157A,2022,Sydney Cricket Ground,India,Netherlands,32,0,96,1,51,0,179,1,India,bat,Sydney,India,ICC Men's T20 World Cup,1298157,A
859,1298157B,2022,Sydney Cricket Ground,Netherlands,India,27,2,60,4,36,2,123,8,India,bat,Sydney,India,ICC Men's T20 World Cup,1298157,B
860,1185182A,2019,King George V Sports Ground,Denmark,Norway,35,0,79,4,27,3,141,7,Denmark,bat,Castel,Denmark,ICC Men's T20 World Cup Europe Region Final,1185182,A
860,1185182B,2019,King George V Sports Ground,Norway,Denmark,30,3,40,4,25,2,95,9,Denmark,bat,Castel,Denmark,ICC Men's T20 World Cup Europe Region Final,1185182,B
861,1031433A,2017,County Ground,South Africa,England,45,1,91,4,38,2,174,7,England,field,Taunton,South Africa,South Africa in England T20I Series,1031433,A
861,1031433B,2017,County Ground,England,South Africa,51,1,84,2,36,3,171,6,England,field,Taunton,South Africa,South Africa in England T20I Series,1031433,B
862,1279381A,2021,Happy Valley Ground,Cyprus,Isle of Man,18,3,55,3,19,3,92,9,Cyprus,bat,Episkopi,Isle of Man,Cyprus T20 Tri-Series,1279381,A
862,1279381B,2021,Happy Valley Ground,Isle of Man,Cyprus,49,1,44,1,0,0,93,2,Cyprus,bat,Episkopi,Isle of Man,Cyprus T20 Tri-Series,1279381,B
863,1187018A,2019,Rajiv Gandhi International Stadium,West Indies,India,66,1,89,1,52,2,207,4,India,field,Hyderabad,India,West Indies tour of India,1187018,A
863,1187018B,2019,Rajiv Gandhi International Stadium,India,West Indies,50,1,127,1,32,2,209,4,India,field,Hyderabad,India,West Indies tour of India,1187018,B
864,1199540A,2019,Sheikh Zayed Stadium,United Arab Emirates,Canada,41,2,71,0,42,2,154,4,Canada,field,Abu Dhabi,United Arab Emirates,ICC Men's T20 World Cup Qualifier,1199540,A
864,1199540B,2019,Sheikh Zayed Stadium,Canada,United Arab Emirates,47,1,62,2,31,1,140,4,Canada,field,Abu Dhabi,United Arab Emirates,ICC Men's T20 World Cup Qualifier,1199540,B
865,1184263A,2019,Lugogo Cricket Oval,Nigeria,Botswana,35,1,66,4,18,5,119,10,Nigeria,bat,Kampala,Nigeria,ICC Men's T20 World Cup Africa Region Final,1184263,A
865,1184263B,2019,Lugogo Cricket Oval,Botswana,Nigeria,29,0,56,2,23,3,108,5,Nigeria,bat,Kampala,Nigeria,ICC Men's T20 World Cup Africa Region Final,1184263,B
866,1176793A,2019,Amini Park,Vanuatu,Papua New Guinea,35,1,58,2,31,3,124,6,Vanuatu,bat,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176793,A
866,1176793B,2019,Amini Park,Papua New Guinea,Vanuatu,59,0,66,2,0,0,125,2,Vanuatu,bat,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176793,B
867,1183524A,2019,Adelaide Oval,Australia,Sri Lanka,57,0,128,1,48,1,233,2,Sri Lanka,field,Adelaide,Australia,Sri Lanka tour of Australia,1183524,A
867,1183524B,2019,Adelaide Oval,Sri Lanka,Australia,29,3,52,4,18,2,99,9,Sri Lanka,field,Adelaide,Australia,Sri Lanka tour of Australia,1183524,B
868,730283A,2014,Windsor Park,West Indies,New Zealand,32,1,92,3,8,3,132,7,New Zealand,field,Dominica,New Zealand,New Zealand in West Indies T20I Series,730283,A
868,730283B,2014,Windsor Park,New Zealand,West Indies,44,1,73,3,0,0,117,4,New Zealand,field,Dominica,New Zealand,New Zealand in West Indies T20I Series,730283,B
869,1157761A,2018,MA Chidambaram Stadium,West Indies,India,51,0,81,3,49,0,181,3,West Indies,bat,Chennai,India,West Indies tour of India,1157761,A
869,1157761B,2018,MA Chidambaram Stadium,India,West Indies,50,2,103,0,29,2,182,4,West Indies,bat,Chennai,India,West Indies tour of India,1157761,B
870,659547A,2013,Harare Sports Club,Pakistan,Zimbabwe,37,1,97,0,45,0,179,1,Zimbabwe,field,,Pakistan,Pakistan in Zimbabwe T20I Series,659547,A
870,659547B,2013,Harare Sports Club,Zimbabwe,Pakistan,44,0,75,5,41,1,160,6,Zimbabwe,field,,Pakistan,Pakistan in Zimbabwe T20I Series,659547,B
871,635660A,2013,Mahinda Rajapaksa International Cricket Stadium,South Africa,Sri Lanka,35,0,84,0,44,1,163,1,South Africa,bat,Hambantota,Sri Lanka,South Africa in Sri Lanka T20I Series,635660,A
871,635660B,2013,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,South Africa,67,1,59,3,38,0,164,4,South Africa,bat,Hambantota,Sri Lanka,South Africa in Sri Lanka T20I Series,635660,B
872,1320974A,2022,Royal Brussels Cricket Club Ground,Denmark,Gibraltar,64,2,114,2,78,1,256,5,Denmark,bat,Waterloo,Denmark,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320974,A
872,1320974B,2022,Royal Brussels Cricket Club Ground,Gibraltar,Denmark,33,1,70,3,21,4,124,8,Denmark,bat,Waterloo,Denmark,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320974,B
873,1305504A,2022,Tribhuvan University International Cricket Ground,Nepal,Papua New Guinea,44,2,70,4,54,0,168,6,Papua New Guinea,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1305504,A
873,1305504B,2022,Tribhuvan University International Cricket Ground,Papua New Guinea,Nepal,33,2,84,6,1,1,118,9,Papua New Guinea,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1305504,B
874,1202243A,2020,Holkar Cricket Stadium,Sri Lanka,India,48,1,65,4,29,4,142,9,India,field,Indore,India,Sri Lanka tour of India,1202243,A
874,1202243B,2020,Holkar Cricket Stadium,India,Sri Lanka,54,0,67,1,23,1,144,2,India,field,Indore,India,Sri Lanka tour of India,1202243,B
875,533295A,2012,R Premadasa Stadium,India,South Africa,36,3,76,1,40,1,152,5,South Africa,field,Colombo,India,ICC World Twenty20,533295,A
875,533295B,2012,R Premadasa Stadium,South Africa,India,46,2,67,3,38,5,151,10,South Africa,field,Colombo,India,ICC World Twenty20,533295,B
876,660113A,2013,Sheikh Zayed Stadium,Ireland,Canada,37,1,82,2,49,1,168,4,Canada,field,Abu Dhabi,Ireland,ICC World Twenty20 Qualifier,660113,A
876,660113B,2013,Sheikh Zayed Stadium,Canada,Ireland,53,1,74,1,39,0,166,2,Canada,field,Abu Dhabi,Ireland,ICC World Twenty20 Qualifier,660113,B
877,660107A,2013,Sharjah Cricket Stadium,Afghanistan,Netherlands,25,3,51,3,14,4,90,10,Afghanistan,bat,Sharjah,Netherlands,ICC World Twenty20 Qualifier,660107,A
877,660107B,2013,Sharjah Cricket Stadium,Netherlands,Afghanistan,32,1,60,2,0,0,92,3,Afghanistan,bat,Sharjah,Netherlands,ICC World Twenty20 Qualifier,660107,B
878,1333920A,2022,Independence Park,Cook Islands,Fiji,60,1,62,4,20,5,142,10,Cook Islands,bat,Port Vila,Fiji,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333920,A
878,1333920B,2022,Independence Park,Fiji,Cook Islands,64,3,68,3,11,0,143,6,Cook Islands,bat,Port Vila,Fiji,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333920,B
879,533281A,2012,R Premadasa Stadium,India,England,52,1,67,2,51,1,170,4,England,field,Colombo,India,ICC World Twenty20,533281,A
879,533281B,2012,R Premadasa Stadium,England,India,39,2,41,7,0,0,80,9,England,field,Colombo,India,ICC World Twenty20,533281,B
880,1321471A,2022,Queens Sports Club,Hong Kong,Netherlands,43,2,58,3,15,3,116,8,Hong Kong,bat,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier,1321471,A
880,1321471B,2022,Queens Sports Club,Netherlands,Hong Kong,57,1,60,0,0,0,117,1,Hong Kong,bat,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier,1321471,B
881,953103A,2016,Mission Road Ground,Scotland,Hong Kong,42,4,24,3,0,0,66,7,Hong Kong,field,Hong Kong,Hong Kong,Scotland in Hong Kong T20I Series,953103,A
881,953103B,2016,Mission Road Ground,Hong Kong,Scotland,65,1,7,0,0,0,72,1,Hong Kong,field,Hong Kong,Hong Kong,Scotland in Hong Kong T20I Series,953103,B
882,1321465A,2022,Queens Sports Club,Zimbabwe,Singapore,70,3,104,1,62,1,236,5,Singapore,field,Bulawayo,Zimbabwe,ICC Men's T20 World Cup Qualifier,1321465,A
882,1321465B,2022,Queens Sports Club,Singapore,Zimbabwe,36,3,63,1,26,2,125,6,Singapore,field,Bulawayo,Zimbabwe,ICC Men's T20 World Cup Qualifier,1321465,B
883,1190772A,2019,Indian Association Ground,Kuwait,Qatar,63,1,75,3,59,3,197,7,Qatar,field,Singapore,Kuwait,ICC Men's T20 World Cup Asia Region Final,1190772,A
883,1190772B,2019,Indian Association Ground,Qatar,Kuwait,70,2,60,2,57,0,187,4,Qatar,field,Singapore,Kuwait,ICC Men's T20 World Cup Asia Region Final,1190772,B
884,1321303A,2022,Tikkurila Cricket Ground,Luxembourg,Switzerland,33,3,56,4,26,2,115,9,Luxembourg,bat,Vantaa,Luxembourg,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321303,A
884,1321303B,2022,Tikkurila Cricket Ground,Switzerland,Luxembourg,38,4,52,1,18,4,108,9,Luxembourg,bat,Vantaa,Luxembourg,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321303,B
885,573672A,2012,Sportpark Westvliet,Bangladesh,Netherlands,30,3,74,1,24,6,128,10,Bangladesh,bat,The Hague,Netherlands,Bangladesh in Netherlands T20I Series,573672,A
885,573672B,2012,Sportpark Westvliet,Netherlands,Bangladesh,25,2,68,4,38,2,131,8,Bangladesh,bat,The Hague,Netherlands,Bangladesh in Netherlands T20I Series,573672,B
886,523736A,2011,Harare Sports Club,Pakistan,Zimbabwe,34,3,72,1,35,3,141,7,Pakistan,bat,,Pakistan,Pakistan in Zimbabwe T20I Series,523736,A
886,523736B,2011,Harare Sports Club,Zimbabwe,Pakistan,36,1,62,5,38,1,136,7,Pakistan,bat,,Pakistan,Pakistan in Zimbabwe T20I Series,523736,B
887,1050219A,2016,Dubai International Cricket Stadium,Pakistan,West Indies,39,1,78,2,43,1,160,4,West Indies,field,,Pakistan,Pakistan v West Indies T20I Series,1050219,A
887,1050219B,2016,Dubai International Cricket Stadium,West Indies,Pakistan,20,3,69,4,55,2,144,9,West Indies,field,,Pakistan,Pakistan v West Indies T20I Series,1050219,B
888,1190773A,2019,Indian Association Ground,Malaysia,Singapore,28,2,50,5,14,3,92,10,Malaysia,bat,Singapore,Singapore,ICC Men's T20 World Cup Asia Region Final,1190773,A
888,1190773B,2019,Indian Association Ground,Singapore,Malaysia,38,2,58,0,0,0,96,2,Malaysia,bat,Singapore,Singapore,ICC Men's T20 World Cup Asia Region Final,1190773,B
889,1321302A,2022,Kerava National Cricket Ground,Guernsey,France,48,0,68,3,37,2,153,5,Guernsey,bat,Kerava,Guernsey,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321302,A
889,1321302B,2022,Kerava National Cricket Ground,France,Guernsey,30,2,52,5,15,3,97,10,Guernsey,bat,Kerava,Guernsey,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321302,B
890,1321470A,2022,Bulawayo Athletic Club,United States of America,Singapore,72,0,82,3,47,3,201,6,Singapore,field,Bulawayo,United States of America,ICC Men's T20 World Cup Qualifier,1321470,A
890,1321470B,2022,Bulawayo Athletic Club,Singapore,United States of America,22,5,47,4,0,0,69,9,Singapore,field,Bulawayo,United States of America,ICC Men's T20 World Cup Qualifier,1321470,B
891,1190767A,2019,Indian Association Ground,Singapore,Qatar,38,0,106,2,42,5,186,7,Singapore,bat,Singapore,Singapore,ICC Men's T20 World Cup Asia Region Final,1190767,A
891,1190767B,2019,Indian Association Ground,Qatar,Singapore,47,3,81,3,25,3,153,9,Singapore,bat,Singapore,Singapore,ICC Men's T20 World Cup Asia Region Final,1190767,B
892,392615A,2009,Dubai International Cricket Stadium,Australia,Pakistan,53,0,44,5,11,2,108,7,Pakistan,field,,Pakistan,,392615,A
892,392615B,2009,Dubai International Cricket Stadium,Pakistan,Australia,37,2,71,0,1,1,109,3,Pakistan,field,,Pakistan,,392615,B
893,533280A,2012,Pallekele International Cricket Stadium,Pakistan,New Zealand,51,1,84,3,42,2,177,6,Pakistan,bat,,Pakistan,ICC World Twenty20,533280,A
893,533280B,2012,Pallekele International Cricket Stadium,New Zealand,Pakistan,47,0,74,4,43,5,164,9,Pakistan,bat,,Pakistan,ICC World Twenty20,533280,B
894,1333921A,2022,Independence Park,Samoa,Vanuatu,43,2,52,4,27,2,122,8,Samoa,bat,Port Vila,Vanuatu,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333921,A
894,1333921B,2022,Independence Park,Vanuatu,Samoa,46,0,77,1,0,0,123,1,Samoa,bat,Port Vila,Vanuatu,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333921,B
895,533294A,2012,R Premadasa Stadium,Pakistan,Australia,31,1,83,2,35,2,149,5,Australia,field,Colombo,Pakistan,ICC World Twenty20,533294,A
895,533294B,2012,R Premadasa Stadium,Australia,Pakistan,21,0,69,2,27,1,117,3,Australia,field,Colombo,Pakistan,ICC World Twenty20,533294,B
896,722335A,2015,Newlands,South Africa,West Indies,35,1,90,1,40,1,165,3,South Africa,bat,Cape Town,West Indies,West Indies in South Africa T20I Series,722335,A
896,722335B,2015,Newlands,West Indies,South Africa,78,0,75,2,15,3,168,5,South Africa,bat,Cape Town,West Indies,West Indies in South Africa T20I Series,722335,B
897,406207A,2010,Melbourne Cricket Ground,Australia,Pakistan,50,1,55,6,22,3,127,10,Australia,bat,,Australia,,406207,A
897,406207B,2010,Melbourne Cricket Ground,Pakistan,Australia,44,2,62,3,19,3,125,8,Australia,bat,,Australia,,406207,B
898,1320975A,2022,Meersen,Israel,Spain,41,3,53,3,20,3,114,9,Israel,bat,Ghent,Spain,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320975,A
898,1320975B,2022,Meersen,Spain,Israel,48,2,67,0,0,0,115,2,Israel,bat,Ghent,Spain,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320975,B
899,860279A,2015,R Premadasa Stadium,Pakistan,Sri Lanka,42,1,91,2,42,1,175,4,Pakistan,bat,Colombo,Pakistan,Pakistan in Sri Lanka T20I Series,860279,A
899,860279B,2015,R Premadasa Stadium,Sri Lanka,Pakistan,35,3,84,3,27,1,146,7,Pakistan,bat,Colombo,Pakistan,Pakistan in Sri Lanka T20I Series,860279,B
900,1157760A,2018,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,India,West Indies,49,0,87,2,59,0,195,2,West Indies,field,Lucknow,India,West Indies tour of India,1157760,A
900,1157760B,2018,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,India,39,2,49,5,36,2,124,9,West Indies,field,Lucknow,India,West Indies tour of India,1157760,B
901,1183525A,2019,Brisbane Cricket Ground,Sri Lanka,Australia,36,2,61,6,20,2,117,10,Sri Lanka,bat,Brisbane,Australia,Sri Lanka tour of Australia,1183525,A
901,1183525B,2019,Brisbane Cricket Ground,Australia,Sri Lanka,58,1,60,0,0,0,118,1,Sri Lanka,bat,Brisbane,Australia,Sri Lanka tour of Australia,1183525,B
902,1184262A,2019,Kyambogo Cricket Oval,Namibia,Uganda,43,2,89,3,35,2,167,7,Namibia,bat,Kampala,Namibia,ICC Men's T20 World Cup Africa Region Final,1184262,A
902,1184262B,2019,Kyambogo Cricket Oval,Uganda,Namibia,45,2,59,3,21,2,125,7,Namibia,bat,Kampala,Namibia,ICC Men's T20 World Cup Africa Region Final,1184262,B
903,1176792A,2019,Amini Park,Papua New Guinea,Philippines,60,1,101,2,55,1,216,4,Philippines,field,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176792,A
903,1176792B,2019,Amini Park,Philippines,Papua New Guinea,27,2,41,4,15,2,83,8,Philippines,field,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176792,B
904,1273134A,2021,Svanholm Park,Sweden,Denmark,50,1,53,4,19,3,122,8,Denmark,field,Brondby,Denmark,Sweden tour of Denmark,1273134,A
904,1273134B,2021,Svanholm Park,Denmark,Sweden,28,1,64,2,34,0,126,3,Denmark,field,Brondby,Denmark,Sweden tour of Denmark,1273134,B
905,1187019A,2019,Greenfield International Stadium,India,West Indies,42,1,102,3,26,3,170,7,West Indies,field,Thiruvananthapuram,West Indies,West Indies tour of India,1187019,A
905,1187019B,2019,Greenfield International Stadium,West Indies,India,41,0,101,2,31,0,173,2,West Indies,field,Thiruvananthapuram,West Indies,West Indies tour of India,1187019,B
906,1199541A,2019,Dubai International Cricket Stadium,United Arab Emirates,Netherlands,14,4,37,2,29,2,80,8,United Arab Emirates,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199541,A
906,1199541B,2019,Dubai International Cricket Stadium,Netherlands,United Arab Emirates,37,1,44,1,0,0,81,2,United Arab Emirates,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199541,B
907,1279380A,2021,Happy Valley Ground,Estonia,Cyprus,37,0,67,3,26,3,130,6,Estonia,bat,Episkopi,Cyprus,Estonia tour of Cyprus,1279380,A
907,1279380B,2021,Happy Valley Ground,Cyprus,Estonia,65,0,66,2,0,0,131,2,Estonia,bat,Episkopi,Cyprus,Estonia tour of Cyprus,1279380,B
908,1280057A,2021,ICC Academy,Namibia,United Arab Emirates,50,1,79,3,30,4,159,8,United Arab Emirates,field,Dubai,Namibia,Namibia tour of United Arab Emirates,1280057,A
908,1280057B,2021,ICC Academy,United Arab Emirates,Namibia,23,1,81,4,38,4,142,9,United Arab Emirates,field,Dubai,Namibia,Namibia tour of United Arab Emirates,1280057,B
909,924639A,2015,Queens Sports Club,Zimbabwe,Afghanistan,68,2,85,1,37,3,190,6,Zimbabwe,bat,Bulawayo,Afghanistan,Afghanistan in Zimbabwe T20I Series,924639,A
909,924639B,2015,Queens Sports Club,Afghanistan,Zimbabwe,56,0,90,2,45,2,191,4,Zimbabwe,bat,Bulawayo,Afghanistan,Afghanistan in Zimbabwe T20I Series,924639,B
910,1298156A,2022,Sydney Cricket Ground,South Africa,Bangladesh,63,1,117,1,25,3,205,5,South Africa,bat,Sydney,South Africa,ICC Men's T20 World Cup,1298156,A
910,1298156B,2022,Sydney Cricket Ground,Bangladesh,South Africa,47,3,54,5,0,1,101,9,South Africa,bat,Sydney,South Africa,ICC Men's T20 World Cup,1298156,B
911,412702A,2010,Beausejour Stadium,Pakistan,Australia,40,0,92,3,59,3,191,6,Australia,field,St Lucia,Australia,ICC World Twenty20,412702,A
911,412702B,2010,Beausejour Stadium,Australia,Pakistan,53,2,83,3,61,2,197,7,Australia,field,St Lucia,Australia,ICC World Twenty20,412702,B
912,1243020A,2021,Gaddafi Stadium,Pakistan,South Africa,46,1,53,3,45,2,144,6,South Africa,field,Lahore,South Africa,South Africa tour of Pakistan,1243020,A
912,1243020B,2021,Gaddafi Stadium,South Africa,Pakistan,46,2,92,2,7,0,145,4,South Africa,field,Lahore,South Africa,South Africa tour of Pakistan,1243020,B
