,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
24,1275274B,2021,Moara Vlasiei Cricket Ground,Hungary,Luxembourg,46,1,93,4,38,3,177,8,Hungary,field,Ilfov County,Luxembourg,Continental Cup,1275274,B
25,1322338A,2022,Hagley Oval,New Zealand,Bangladesh,54,1,107,1,47,3,208,5,Bangladesh,field,Christchurch,New Zealand,New Zealand T20I Tri-Series,1322338,A
25,1322338B,2022,Hagley Oval,Bangladesh,New Zealand,52,2,83,4,25,1,160,7,Bangladesh,field,Christchurch,New Zealand,New Zealand T20I Tri-Series,1322338,B
26,439507A,2010,Dubai International Cricket Stadium,Afghanistan,Netherlands,37,3,52,3,39,3,128,9,Netherlands,field,,Netherlands,ICC World Twenty20 Qualifier,439507,A
26,439507B,2010,Dubai International Cricket Stadium,Netherlands,Afghanistan,47,0,66,3,19,2,132,5,Netherlands,field,,Netherlands,ICC World Twenty20 Qualifier,439507,B
27,1199516A,2019,Sheikh Zayed Stadium,Canada,Nigeria,44,2,66,3,49,1,159,6,Canada,bat,Abu Dhabi,Canada,ICC Men's T20 World Cup Qualifier,1199516,A
27,1199516B,2019,Sheikh Zayed Stadium,Nigeria,Canada,28,2,69,5,12,1,109,8,Canada,bat,Abu Dhabi,Canada,ICC Men's T20 World Cup Qualifier,1199516,B
28,298804A,2008,New Wanderers Stadium,West Indies,South Africa,31,2,60,4,40,1,131,7,South Africa,field,Johannesburg,South Africa,West Indies in South Africa T20I Series,298804,A
28,298804B,2008,New Wanderers Stadium,South Africa,West Indies,38,3,51,3,45,0,134,6,South Africa,field,Johannesburg,South Africa,West Indies in South Africa T20I Series,298804,B
29,1299592A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,50,2,79,2,49,1,178,5,Ireland,field,Al Amarat,United Arab Emirates,Oman Quadrangular T20I Series,1299592,A
29,1299592B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,67,2,72,2,26,3,165,7,Ireland,field,Al Amarat,United Arab Emirates,Oman Quadrangular T20I Series,1299592,B
30,1197507A,2019,United Cricket Club Ground,Namibia,Botswana,58,0,76,4,59,0,193,4,Botswana,field,Windhoek,Namibia,Botswana tour of Namibia,1197507,A
30,1197507B,2019,United Cricket Club Ground,Botswana,Namibia,21,1,54,3,25,1,100,5,Botswana,field,Windhoek,Namibia,Botswana tour of Namibia,1197507,B
31,440946A,2010,Dubai International Cricket Stadium,England,Pakistan,39,1,71,0,38,4,148,5,Pakistan,field,,Pakistan,Pakistan v England T20I Series,440946,A
31,440946B,2010,Dubai International Cricket Stadium,Pakistan,England,39,2,79,3,31,1,149,6,Pakistan,field,,Pakistan,Pakistan v England T20I Series,440946,B
32,1283045A,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Tanzania,25,0,46,6,28,0,99,6,Sierra Leone,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283045,A
32,1283045B,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Sierra Leone,67,0,37,2,0,0,104,2,Sierra Leone,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283045,B
33,1283051A,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Botswana,44,3,68,3,31,4,143,10,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283051,A
33,1283051B,2021,Gahanga International Cricket Stadium. Rwanda,Botswana,Tanzania,46,0,54,3,40,4,140,7,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283051,B
